Zonal,Taluk,Gram,Booth,Village
Bengaluru Division,Bangalore South,Kengeri,Booth 1,Kengeri Village
Bengaluru Division,Bangalore South,Kengeri,Booth 2,Shirke Layout
Bengaluru Division,Bangalore North,Yelahanka,Booth 10,Yelahanka Old Town
Bengaluru Division,Bangalore North,Yelahanka,Booth 11,Kogilu
Mysuru Division,Mysuru,Jayapura,Booth 5,Jayapura Village
Mysuru Division,Mysuru,Jayapura,Booth 6,Daripura
Mysuru Division,Nanjangud,Hullahalli,Booth 20,Hullahalli
Mysuru Division,Nanjangud,Hullahalli,Booth 21,Kappasoge
Belagavi Division,Belagavi,Kakati,Booth 101,Kakati Village
Belagavi Division,Belagavi,Kakati,Booth 102,Honaga
Belagavi Division,Gokak,Konnur,Booth 205,Konnur Village
Kalaburagi Division,Kalaburagi,Farhatabad,Booth 50,Farhatabad
Kalaburagi Division,Kalaburagi,Farhatabad,Booth 51,Srinivasa Saradgi
